var1,var2,correlation,abs_corr,force,sens
q_total,q_moyen,0.9502085663529842,0.9502085663529842,FORTE,positive (+)
meteo_temp_min,meteo_temp_max,0.8452109014023705,0.8452109014023705,FORTE,positive (+)
q_moyen,k_moyen,0.5518840867371325,0.5518840867371325,FORTE,positive (+)
q_total,k_moyen,0.5361567734491794,0.5361567734491794,FORTE,positive (+)
meteo_precipitations,meteo_temp_min,0.11430529592082785,0.11430529592082785,FAIBLE,positive (+)
meteo_precipitations,meteo_temp_max,-0.0699004374862839,0.0699004374862839,FAIBLE,negative (-)
k_moyen,population,-0.06748998201353365,0.06748998201353365,FAIBLE,negative (-)
q_total,meteo_temp_max,0.0650948374323492,0.0650948374323492,FAIBLE,positive (+)
q_total,population,0.06330932237151027,0.06330932237151027,FAIBLE,positive (+)
q_moyen,population,0.059428819378062464,0.059428819378062464,FAIBLE,positive (+)
q_total,meteo_temp_min,0.05343132601036303,0.05343132601036303,FAIBLE,positive (+)
q_moyen,meteo_temp_max,0.04321390254039018,0.04321390254039018,FAIBLE,positive (+)
meteo_temp_min,population,0.03874055974552025,0.03874055974552025,FAIBLE,positive (+)
q_moyen,meteo_temp_min,0.03868477372010777,0.03868477372010777,FAIBLE,positive (+)
meteo_temp_max,population,0.031045520380313187,0.031045520380313187,FAIBLE,positive (+)
q_moyen,meteo_precipitations,-0.023887614480671043,0.023887614480671043,FAIBLE,negative (-)
q_total,meteo_precipitations,-0.019150235458368255,0.019150235458368255,FAIBLE,negative (-)
meteo_precipitations,population,0.015689180373492873,0.015689180373492873,FAIBLE,positive (+)
k_moyen,meteo_temp_max,-0.010634680343055446,0.010634680343055446,FAIBLE,negative (-)
k_moyen,meteo_precipitations,0.004724579283888122,0.004724579283888122,FAIBLE,positive (+)
k_moyen,meteo_temp_min,0.0014537733671927092,0.0014537733671927092,FAIBLE,positive (+)
