feature,type
is_pluie,int64
is_weekend,int64
is_ferie,int64
mois,int32
k_moyen,float64
jour,int32
population,int64
meteo_temp_min,float64
meteo_temp_moy,float64
jour_semaine_num,int32
q_moyen,float64
trimestre,int32
meteo_temp_max,float64
semaine_annee,Int64
meteo_precipitations,float64
trafic_eleve,int64
annee,int32
ratio_saturation,float64
saison_ete,int64
saison_hiver,int64
saison_printemps,int64
jour_semaine_Monday,int64
jour_semaine_Saturday,int64
jour_semaine_Sunday,int64
jour_semaine_Thursday,int64
jour_semaine_Tuesday,int64
jour_semaine_Wednesday,int64
