feature,dtype,n_unique_train,n_unique_test,mean_train,std_train,pct_na_train,pct_na_test
is_pluie,int64,2,2,0.3695970208804362,0.4827277231164683,0.0,0.0
is_weekend,int64,2,2,0.24298443942013565,0.42891429054362445,0.0,0.0
is_ferie,int64,2,2,0.011437691182338077,0.10634084058319723,0.0,0.0
mois,int32,10,3,5.580662322117303,2.6792937683871,0.0,0.0
k_moyen,float64,887,264,4.961522689516735,3.983941427871584,0.0,0.0
jour,int32,31,31,15.232344726692379,8.690605001473148,0.0,0.0
population,int64,20,21,136121.06969011837,62686.0444993171,0.0,0.0
meteo_temp_min,float64,151,52,11.530855166910493,4.888160493370526,0.0,0.0
meteo_temp_moy,float64,163,65,15.417116637850778,5.676932633438212,0.0,0.0
jour_semaine_num,int32,7,7,2.8963957973134726,1.9058126571864296,0.0,0.0
q_moyen,float64,1132,303,494.1775815967606,767.7369059612417,0.0,0.0
trimestre,int32,4,1,2.2058784412820853,0.9061655275981202,0.0,0.0
meteo_temp_max,float64,181,51,20.20702221040032,6.966466912526185,0.0,0.0
semaine_annee,Int64,42,12,22.507647293523075,11.685338174948924,0.0,0.0
meteo_precipitations,float64,62,23,2.8971272775635057,7.081686548936343,0.0,0.0
trafic_eleve,int64,2,2,0.24085649687458438,0.4276318109117672,0.0,0.0
annee,int32,1,1,2024.0,0.0,0.0,0.0
ratio_saturation,float64,1145,307,0.014447062711260662,0.016451411374671755,0.0,0.0
saison_ete,int64,2,1,0.34020481447000933,0.4738094086841031,0.0,0.0
saison_hiver,int64,2,2,0.15640377709801837,0.363261869324773,0.0,0.0
saison_printemps,int64,2,1,0.32038834951456313,0.4666568519309064,0.0,0.0
jour_semaine_Monday,int64,2,2,0.13046947732411224,0.3368416287917613,0.0,0.0
jour_semaine_Saturday,int64,2,2,0.12727756350578534,0.33330580593802545,0.0,0.0
jour_semaine_Sunday,int64,2,2,0.11570687591435032,0.31989436478756234,0.0,0.0
jour_semaine_Thursday,int64,2,2,0.15853171964356963,0.36526313462119553,0.0,0.0
jour_semaine_Tuesday,int64,2,2,0.1498869530522676,0.356984317760858,0.0,0.0
jour_semaine_Wednesday,int64,2,2,0.16611251496209603,0.3722063571927416,0.0,0.0
