is_pluie,is_weekend,is_ferie,mois,k_moyen,jour,population,meteo_temp_min,meteo_temp_moy,jour_semaine_num,q_moyen,trimestre,meteo_temp_max,semaine_annee,meteo_precipitations,trafic_eleve,annee,ratio_saturation,saison_ete,saison_hiver,saison_printemps,jour_semaine_Monday,jour_semaine_Saturday,jour_semaine_Sunday,jour_semaine_Thursday,jour_semaine_Tuesday,jour_semaine_Wednesday,y_true,y_probs,categorie
0,0,0,12,13.828273809523813,27,161450,1.1,3.5,4,3640.517857142857,4,7.5,52,0.2,1,2024,0.0037973928323321,0,1,0,0,0,0,0,0,0,1,0.01518913220551532,FN (grave RATÉ)
0,0,1,11,3.374142951388889,1,161450,8.9,10.4,4,203.21006944444449,4,12.4,44,0.0,0,2024,0.0165229019341126,0,0,0,0,0,0,0,0,0,1,0.018287947986294635,FN (grave RATÉ)
0,0,0,11,16.75121951219512,15,138907,9.2,9.7,4,3638.7073170731705,4,11.1,46,0.0,1,2024,0.004602353445734,0,0,0,0,0,0,0,0,0,1,0.024253638597544865,FN (grave RATÉ)
0,1,0,10,10.41762351190476,26,15207,14.3,15.8,5,1008.4880952380952,4,21.3,43,1.0,1,2024,0.0103197091288606,0,0,0,0,1,0,0,0,0,1,0.025304579195499853,FN (grave RATÉ)
0,0,0,11,1.4358333333333333,20,231476,3.6,5.1,2,188.16666666666663,4,8.8,47,0.0,0,2024,0.007590308370044,0,0,0,0,0,0,0,0,1,1,0.025523607024122454,FN (grave RATÉ)
0,1,0,11,2.82722,16,84310,7.8,8.3,5,757.5121951219512,4,10.7,46,0.0,1,2024,0.0037273230650503,0,0,0,0,1,0,0,0,0,1,0.02815962556783764,FN (grave RATÉ)
0,0,0,11,6.561722195121952,13,182347,7.0,8.5,2,1592.8292682926829,4,9.9,46,0.0,1,2024,0.0041169542595681,0,0,0,0,0,0,0,0,1,1,0.02972668379513302,FN (grave RATÉ)
1,0,0,11,3.96222,25,138907,10.1,12.3,0,309.4791666666667,4,15.7,48,11.5,0,2024,0.0123555077973465,0,0,0,1,0,0,0,0,0,1,0.02987568457753641,FN (grave RATÉ)
1,0,0,11,3.96222,25,138907,10.1,12.3,0,309.4791666666667,4,15.7,48,11.5,0,2024,0.0123555077973465,0,0,0,1,0,0,0,0,0,1,0.02987568457753641,FN (grave RATÉ)
1,0,0,11,3.96222,25,35837,10.1,12.3,0,309.4791666666667,4,15.7,48,11.5,0,2024,0.0123555077973465,0,0,0,1,0,0,0,0,0,1,0.03239468449782403,FN (grave RATÉ)
